,Reviews_ID,Date,Review,Rating,Product,District_id,Tokens,context_around_service
9,22,01/01/2015,great fee unhelpful staff slow transaction mum,1,Mortgage,8,"['great', 'fee', 'unhelpful', 'staff', 'slow', 'transaction', 'mum']",[]
10,23,01/01/2015,high fee unhelpful staff distressed unhelpful staff great slow transaction,1,Mortgage,23,"['high', 'fee', 'unhelpful', 'staff', 'distressed', 'unhelpful', 'staff', 'great', 'slow', 'transaction']",[]
11,24,01/01/2015,terrible manager great mum long wait time bad financial advice high fee,1,Mortgage,39,"['terrible', 'manager', 'great', 'mum', 'long', 'wait', 'time', 'bad', 'financial', 'advice', 'high', 'fee']",[]
12,25,01/01/2015,rising bad financial advice rude customer service unhelpful staff limited service long wait time,1,Mortgage,39,"['rising', 'bad', 'financial', 'advice', 'rude', 'customer', 'service', 'unhelpful', 'staff', 'limited', 'service', 'long', 'wait', 'time']",[]
22,41,02/01/2015,terrible manager hope youre proud limited service distressed poor interest rate insecure distressed,1,Mortgage,12,"['terrible', 'manager', 'hope', 'youre', 'proud', 'limited', 'service', 'distressed', 'poor', 'interest', 'rate', 'insecure', 'distressed']",[]
32,68,02/01/2015,slow transaction happened slow transaction fee additional charge limited service distressed limited service,1,Mortgage,66,"['slow', 'transaction', 'happened', 'slow', 'transaction', 'fee', 'additional', 'charge', 'limited', 'service', 'distressed', 'limited', 'service']",[]
33,69,02/01/2015,limited service long wait time great unhelpful staff hope youre proud distressed,1,Mortgage,71,"['limited', 'service', 'long', 'wait', 'time', 'great', 'unhelpful', 'staff', 'hope', 'youre', 'proud', 'distressed']",[]
34,70,02/01/2015,high fee insecure mum happened fee mum slow transaction,1,Mortgage,63,"['high', 'fee', 'insecure', 'mum', 'happened', 'fee', 'mum', 'slow', 'transaction']",[]
45,93,03/01/2015,hope youre proud additional charge great bad financial advice additional charge rising,1,Mortgage,39,"['hope', 'youre', 'proud', 'additional', 'charge', 'great', 'bad', 'financial', 'advice', 'additional', 'charge', 'rising']",[]
79,177,05/01/2015,great additional charge rising terrible manager unhelpful staff insecure,1,Mortgage,39,"['great', 'additional', 'charge', 'rising', 'terrible', 'manager', 'unhelpful', 'staff', 'insecure']",[]
97,226,06/01/2015,insecure high fee bad financial advice rising poor interest rate slow transaction,1,Mortgage,8,"['insecure', 'high', 'fee', 'bad', 'financial', 'advice', 'rising', 'poor', 'interest', 'rate', 'slow', 'transaction']",[]
111,264,07/01/2015,poor interest rate high fee great high fee,1,Mortgage,25,"['poor', 'interest', 'rate', 'high', 'fee', 'great', 'high', 'fee']",[]
112,265,07/01/2015,additional charge slow transaction long wait time fee,1,Mortgage,42,"['additional', 'charge', 'slow', 'transaction', 'long', 'wait', 'time', 'fee']",[]
159,380,09/01/2015,high fee hope youre proud rising,1,Mortgage,9,"['high', 'fee', 'hope', 'youre', 'proud', 'rising']",[]
176,420,10/01/2015,slow transaction slow transaction additional charge happened,1,Mortgage,55,"['slow', 'transaction', 'slow', 'transaction', 'additional', 'charge', 'happened']",[]
185,440,10/01/2015,insecure additional charge bad financial advice slow transaction poor interest rate,1,Mortgage,11,"['insecure', 'additional', 'charge', 'bad', 'financial', 'advice', 'slow', 'transaction', 'poor', 'interest', 'rate']",[]
223,533,12/01/2015,hope youre proud unhelpful staff terrible manager fee,1,Mortgage,8,"['hope', 'youre', 'proud', 'unhelpful', 'staff', 'terrible', 'manager', 'fee']",[]
224,534,12/01/2015,distressed hope youre proud hope youre proud slow transaction limited service terrible manager terrible manager great,1,Mortgage,75,"['distressed', 'hope', 'youre', 'proud', 'hope', 'youre', 'proud', 'slow', 'transaction', 'limited', 'service', 'terrible', 'manager', 'terrible', 'manager', 'great']",[]
225,535,12/01/2015,rude customer service rude customer service high fee limited service slow transaction distressed fee,1,Mortgage,35,"['rude', 'customer', 'service', 'rude', 'customer', 'service', 'high', 'fee', 'limited', 'service', 'slow', 'transaction', 'distressed', 'fee']",[]
226,536,12/01/2015,terrible manager limited service high fee poor interest rate high fee rising slow transaction,1,Mortgage,55,"['terrible', 'manager', 'limited', 'service', 'high', 'fee', 'poor', 'interest', 'rate', 'high', 'fee', 'rising', 'slow', 'transaction']",[]
240,572,13/01/2015,long wait time limited service happened great rude customer service terrible manager slow transaction,1,Mortgage,66,"['long', 'wait', 'time', 'limited', 'service', 'happened', 'great', 'rude', 'customer', 'service', 'terrible', 'manager', 'slow', 'transaction']",[]
251,614,14/01/2015,terrible manager happened insecure happened,1,Mortgage,44,"['terrible', 'manager', 'happened', 'insecure', 'happened']",[]
273,692,15/01/2015,insecure mum fee unhelpful staff slow transaction,1,Mortgage,71,"['insecure', 'mum', 'fee', 'unhelpful', 'staff', 'slow', 'transaction']",[]
281,721,15/01/2015,insecure distressed terrible manager additional charge insecure rising long wait time,1,Mortgage,26,"['insecure', 'distressed', 'terrible', 'manager', 'additional', 'charge', 'insecure', 'rising', 'long', 'wait', 'time']",[]
282,722,15/01/2015,distressed long wait time limited service slow transaction unhelpful staff hope youre proud fee insecure,1,Mortgage,63,"['distressed', 'long', 'wait', 'time', 'limited', 'service', 'slow', 'transaction', 'unhelpful', 'staff', 'hope', 'youre', 'proud', 'fee', 'insecure']",[]
292,748,16/01/2015,mum insecure slow transaction additional charge great,1,Mortgage,55,"['mum', 'insecure', 'slow', 'transaction', 'additional', 'charge', 'great']",[]
