,Reviews_ID,Date,Review,Rating,Product,District_id,Tokens,context_around_service
8120,1,26/02/2016,reliable bad fast transaction wide range service fast transaction excellent financial advice,5,Mortgage,6,"['reliable', 'bad', 'fast', 'transaction', 'wide', 'range', 'service', 'fast', 'transaction', 'excellent', 'financial', 'advice']","[(['transaction', 'wide', 'range'], ['fast', 'transaction', 'excellent'])]"
8154,67,28/02/2016,remortgaged easy online banking friendly staff easy online banking stressed first tho,5,Mortgage,36,"['remortgaged', 'easy', 'online', 'banking', 'friendly', 'staff', 'easy', 'online', 'banking', 'stressed', 'first', 'tho']",[]
8165,91,29/02/2016,bad friendly staff competitive rate thank fast transaction good waved fee,5,Mortgage,14,"['bad', 'friendly', 'staff', 'competitive', 'rate', 'thank', 'fast', 'transaction', 'good', 'waved', 'fee']",[]
8166,92,29/02/2016,reliable wide range service stressed first tho bad easy online banking,5,Mortgage,6,"['reliable', 'wide', 'range', 'service', 'stressed', 'first', 'tho', 'bad', 'easy', 'online', 'banking']","[(['reliable', 'wide', 'range'], ['stressed', 'first', 'tho'])]"
8194,137,01/03/2016,remortgaged good easy online banking easy online banking waved fee stressed first tho,5,Mortgage,16,"['remortgaged', 'good', 'easy', 'online', 'banking', 'easy', 'online', 'banking', 'waved', 'fee', 'stressed', 'first', 'tho']",[]
8195,138,01/03/2016,competitive rate reliable waved fee helpful customer service,5,Mortgage,54,"['competitive', 'rate', 'reliable', 'waved', 'fee', 'helpful', 'customer', 'service']","[(['fee', 'helpful', 'customer'], [])]"
8215,175,02/03/2016,thank worried got really helpful advise remorgaging easy online banking,5,Mortgage,9,"['thank', 'worried', 'got', 'really', 'helpful', 'advise', 'remorgaging', 'easy', 'online', 'banking']",[]
8216,176,02/03/2016,thank fast transaction worried got really helpful advise remorgaging remortgaged competitive rate,5,Mortgage,29,"['thank', 'fast', 'transaction', 'worried', 'got', 'really', 'helpful', 'advise', 'remorgaging', 'remortgaged', 'competitive', 'rate']",[]
8236,204,03/03/2016,ease friendly staff waved fee bad,5,Mortgage,29,"['ease', 'friendly', 'staff', 'waved', 'fee', 'bad']",[]
8271,263,05/03/2016,remortgaged thank good froze interest rate remortgaged excellent financial advice friendly staff,5,Mortgage,3,"['remortgaged', 'thank', 'good', 'froze', 'interest', 'rate', 'remortgaged', 'excellent', 'financial', 'advice', 'friendly', 'staff']",[]
8304,324,06/03/2016,reliable good bad,5,Mortgage,16,"['reliable', 'good', 'bad']",[]
8314,342,07/03/2016,thank friendly staff helpful customer service reliable froze interest rate fast transaction thank,5,Mortgage,76,"['thank', 'friendly', 'staff', 'helpful', 'customer', 'service', 'reliable', 'froze', 'interest', 'rate', 'fast', 'transaction', 'thank']","[(['staff', 'helpful', 'customer'], ['reliable', 'froze', 'interest'])]"
8328,360,08/03/2016,reliable thank worried got really helpful advise remorgaging fast transaction,5,Mortgage,3,"['reliable', 'thank', 'worried', 'got', 'really', 'helpful', 'advise', 'remorgaging', 'fast', 'transaction']",[]
8362,419,09/03/2016,ease stressed first tho friendly staff good ease,5,Mortgage,16,"['ease', 'stressed', 'first', 'tho', 'friendly', 'staff', 'good', 'ease']",[]
8373,439,10/03/2016,excellent financial advice bad ease froze interest rate stressed first tho bad,5,Mortgage,57,"['excellent', 'financial', 'advice', 'bad', 'ease', 'froze', 'interest', 'rate', 'stressed', 'first', 'tho', 'bad']",[]
8405,494,11/03/2016,competitive rate wide range service wide range service remortgaged easy online banking worried got really helpful advise remorgaging excellent financial advice,5,Mortgage,36,"['competitive', 'rate', 'wide', 'range', 'service', 'wide', 'range', 'service', 'remortgaged', 'easy', 'online', 'banking', 'worried', 'got', 'really', 'helpful', 'advise', 'remorgaging', 'excellent', 'financial', 'advice']","[(['rate', 'wide', 'range'], ['wide', 'range', 'service']), (['service', 'wide', 'range'], ['remortgaged', 'easy', 'online'])]"
8440,555,13/03/2016,helpful customer service worried got really helpful advise remorgaging good helpful customer service helpful customer service competitive rate excellent financial advice,5,Mortgage,29,"['helpful', 'customer', 'service', 'worried', 'got', 'really', 'helpful', 'advise', 'remorgaging', 'good', 'helpful', 'customer', 'service', 'helpful', 'customer', 'service', 'competitive', 'rate', 'excellent', 'financial', 'advice']","[(['helpful', 'customer'], ['worried', 'got', 'really']), (['good', 'helpful', 'customer'], ['helpful', 'customer', 'service']), (['service', 'helpful', 'customer'], ['competitive', 'rate', 'excellent'])]"
8441,556,13/03/2016,froze interest rate ease ease competitive rate good,5,Mortgage,56,"['froze', 'interest', 'rate', 'ease', 'ease', 'competitive', 'rate', 'good']",[]
8481,613,15/03/2016,thank ease thank good,5,Mortgage,29,"['thank', 'ease', 'thank', 'good']",[]
8496,633,15/03/2016,fast transaction stressed first tho froze interest rate good fast transaction easy online banking remortgaged competitive rate,5,Mortgage,29,"['fast', 'transaction', 'stressed', 'first', 'tho', 'froze', 'interest', 'rate', 'good', 'fast', 'transaction', 'easy', 'online', 'banking', 'remortgaged', 'competitive', 'rate']",[]
8497,634,15/03/2016,thank ease thank fast transaction,5,Mortgage,29,"['thank', 'ease', 'thank', 'fast', 'transaction']",[]
8512,654,16/03/2016,competitive rate worried got really helpful advise remorgaging reliable wide range service friendly staff froze interest rate wide range service,5,Mortgage,36,"['competitive', 'rate', 'worried', 'got', 'really', 'helpful', 'advise', 'remorgaging', 'reliable', 'wide', 'range', 'service', 'friendly', 'staff', 'froze', 'interest', 'rate', 'wide', 'range', 'service']","[(['reliable', 'wide', 'range'], ['friendly', 'staff', 'froze']), (['rate', 'wide', 'range'], [])]"
8537,691,18/03/2016,bad helpful customer service waved fee friendly staff competitive rate helpful customer service wide range service,5,Mortgage,29,"['bad', 'helpful', 'customer', 'service', 'waved', 'fee', 'friendly', 'staff', 'competitive', 'rate', 'helpful', 'customer', 'service', 'wide', 'range', 'service']","[(['bad', 'helpful', 'customer'], ['waved', 'fee', 'friendly']), (['rate', 'helpful', 'customer'], ['wide', 'range', 'service']), (['service', 'wide', 'range'], [])]"
8556,718,19/03/2016,waved fee fast transaction friendly staff ease excellent financial advice bad,5,Mortgage,56,"['waved', 'fee', 'fast', 'transaction', 'friendly', 'staff', 'ease', 'excellent', 'financial', 'advice', 'bad']",[]
8557,719,19/03/2016,worried got really helpful advise remorgaging good ease excellent financial advice,5,Mortgage,36,"['worried', 'got', 'really', 'helpful', 'advise', 'remorgaging', 'good', 'ease', 'excellent', 'financial', 'advice']",[]
8558,720,19/03/2016,good competitive rate easy online banking bad waved fee,5,Mortgage,5,"['good', 'competitive', 'rate', 'easy', 'online', 'banking', 'bad', 'waved', 'fee']",[]
8581,762,20/03/2016,fast transaction froze interest rate excellent financial advice thank fast transaction,5,Mortgage,16,"['fast', 'transaction', 'froze', 'interest', 'rate', 'excellent', 'financial', 'advice', 'thank', 'fast', 'transaction']",[]
8592,778,20/03/2016,fast transaction easy online banking good froze interest rate good good,5,Mortgage,3,"['fast', 'transaction', 'easy', 'online', 'banking', 'good', 'froze', 'interest', 'rate', 'good', 'good']",[]
8601,796,21/03/2016,wide range service worried got really helpful advise remorgaging excellent financial advice bad wide range service,5,Mortgage,16,"['wide', 'range', 'service', 'worried', 'got', 'really', 'helpful', 'advise', 'remorgaging', 'excellent', 'financial', 'advice', 'bad', 'wide', 'range', 'service']","[(['wide', 'range'], ['worried', 'got', 'really']), (['bad', 'wide', 'range'], [])]"
8623,833,22/03/2016,fast transaction bad froze interest rate remortgaged friendly staff,5,Mortgage,57,"['fast', 'transaction', 'bad', 'froze', 'interest', 'rate', 'remortgaged', 'friendly', 'staff']",[]
8637,864,23/03/2016,ease froze interest rate excellent financial advice waved fee excellent financial advice thank stressed first tho,5,Mortgage,36,"['ease', 'froze', 'interest', 'rate', 'excellent', 'financial', 'advice', 'waved', 'fee', 'excellent', 'financial', 'advice', 'thank', 'stressed', 'first', 'tho']",[]
8638,865,23/03/2016,reliable fast transaction friendly staff helpful customer service helpful customer service wide range service ease remortgaged,5,Mortgage,61,"['reliable', 'fast', 'transaction', 'friendly', 'staff', 'helpful', 'customer', 'service', 'helpful', 'customer', 'service', 'wide', 'range', 'service', 'ease', 'remortgaged']","[(['staff', 'helpful', 'customer'], ['helpful', 'customer', 'service']), (['service', 'helpful', 'customer'], ['wide', 'range', 'service']), (['service', 'wide', 'range'], ['ease', 'remortgaged'])]"
8684,939,26/03/2016,worried got really helpful advise remorgaging ease reliable fast transaction ease,5,Mortgage,29,"['worried', 'got', 'really', 'helpful', 'advise', 'remorgaging', 'ease', 'reliable', 'fast', 'transaction', 'ease']",[]
8739,1034,28/03/2016,competitive rate thank friendly staff wide range service good,5,Mortgage,3,"['competitive', 'rate', 'thank', 'friendly', 'staff', 'wide', 'range', 'service', 'good']","[(['staff', 'wide', 'range'], ['good'])]"
8759,1069,29/03/2016,excellent financial advice thank remortgaged waved fee worried got really helpful advise remorgaging competitive rate ease,5,Mortgage,76,"['excellent', 'financial', 'advice', 'thank', 'remortgaged', 'waved', 'fee', 'worried', 'got', 'really', 'helpful', 'advise', 'remorgaging', 'competitive', 'rate', 'ease']",[]
8811,1143,01/04/2016,reliable stressed first tho competitive rate good,5,Mortgage,29,"['reliable', 'stressed', 'first', 'tho', 'competitive', 'rate', 'good']",[]
8812,1144,01/04/2016,easy online banking reliable bad easy online banking wide range service good helpful customer service,5,Mortgage,15,"['easy', 'online', 'banking', 'reliable', 'bad', 'easy', 'online', 'banking', 'wide', 'range', 'service', 'good', 'helpful', 'customer', 'service']","[(['banking', 'wide', 'range'], ['good', 'helpful', 'customer']), (['good', 'helpful', 'customer'], [])]"
8824,1166,02/04/2016,helpful customer service thank fast transaction froze interest rate fast transaction,5,Mortgage,3,"['helpful', 'customer', 'service', 'thank', 'fast', 'transaction', 'froze', 'interest', 'rate', 'fast', 'transaction']","[(['helpful', 'customer'], ['thank', 'fast', 'transaction'])]"
8849,1202,03/04/2016,worried got really helpful advise remorgaging bad fast transaction bad worried got really helpful advise remorgaging good,5,Mortgage,26,"['worried', 'got', 'really', 'helpful', 'advise', 'remorgaging', 'bad', 'fast', 'transaction', 'bad', 'worried', 'got', 'really', 'helpful', 'advise', 'remorgaging', 'good']",[]
8919,1318,06/04/2016,good froze interest rate friendly staff remortgaged,5,Mortgage,76,"['good', 'froze', 'interest', 'rate', 'friendly', 'staff', 'remortgaged']",[]
8981,1428,09/04/2016,ease bad ease fast transaction remortgaged,5,Mortgage,68,"['ease', 'bad', 'ease', 'fast', 'transaction', 'remortgaged']",[]
8982,1429,09/04/2016,fast transaction waved fee excellent financial advice bad,5,Mortgage,76,"['fast', 'transaction', 'waved', 'fee', 'excellent', 'financial', 'advice', 'bad']",[]
8997,1449,10/04/2016,reliable competitive rate fast transaction good thank,5,Mortgage,3,"['reliable', 'competitive', 'rate', 'fast', 'transaction', 'good', 'thank']",[]
9005,1464,10/04/2016,friendly staff helpful customer service fast transaction ease remortgaged helpful customer service reliable,5,Mortgage,26,"['friendly', 'staff', 'helpful', 'customer', 'service', 'fast', 'transaction', 'ease', 'remortgaged', 'helpful', 'customer', 'service', 'reliable']","[(['staff', 'helpful', 'customer'], ['fast', 'transaction', 'ease']), (['remortgaged', 'helpful', 'customer'], ['reliable'])]"
9059,1546,13/04/2016,wide range service wide range service reliable friendly staff good froze interest rate fast transaction thank,5,Mortgage,6,"['wide', 'range', 'service', 'wide', 'range', 'service', 'reliable', 'friendly', 'staff', 'good', 'froze', 'interest', 'rate', 'fast', 'transaction', 'thank']","[(['wide', 'range'], ['wide', 'range', 'service']), (['service', 'wide', 'range'], ['reliable', 'friendly', 'staff'])]"
9073,1566,13/04/2016,worried got really helpful advise remorgaging stressed first tho fast transaction,5,Mortgage,76,"['worried', 'got', 'really', 'helpful', 'advise', 'remorgaging', 'stressed', 'first', 'tho', 'fast', 'transaction']",[]
9085,1582,14/04/2016,competitive rate friendly staff ease remortgaged reliable wide range service,5,Mortgage,3,"['competitive', 'rate', 'friendly', 'staff', 'ease', 'remortgaged', 'reliable', 'wide', 'range', 'service']","[(['reliable', 'wide', 'range'], [])]"
9086,1583,14/04/2016,competitive rate remortgaged froze interest rate worried got really helpful advise remorgaging,5,Mortgage,25,"['competitive', 'rate', 'remortgaged', 'froze', 'interest', 'rate', 'worried', 'got', 'really', 'helpful', 'advise', 'remorgaging']",[]
9105,1614,15/04/2016,ease bad worried got really helpful advise remorgaging friendly staff worried got really helpful advise remorgaging,5,Mortgage,29,"['ease', 'bad', 'worried', 'got', 'really', 'helpful', 'advise', 'remorgaging', 'friendly', 'staff', 'worried', 'got', 'really', 'helpful', 'advise', 'remorgaging']",[]
9115,1633,16/04/2016,worried got really helpful advise remorgaging easy online banking excellent financial advice froze interest rate ease worried got really helpful advise remorgaging good wide range service,5,Mortgage,10,"['worried', 'got', 'really', 'helpful', 'advise', 'remorgaging', 'easy', 'online', 'banking', 'excellent', 'financial', 'advice', 'froze', 'interest', 'rate', 'ease', 'worried', 'got', 'really', 'helpful', 'advise', 'remorgaging', 'good', 'wide', 'range', 'service']","[(['good', 'wide', 'range'], [])]"
9130,1652,16/04/2016,froze interest rate competitive rate froze interest rate stressed first tho,5,Mortgage,67,"['froze', 'interest', 'rate', 'competitive', 'rate', 'froze', 'interest', 'rate', 'stressed', 'first', 'tho']",[]
9143,1672,17/04/2016,thank fast transaction remortgaged stressed first tho,5,Mortgage,16,"['thank', 'fast', 'transaction', 'remortgaged', 'stressed', 'first', 'tho']",[]
