Reviews_ID,Date,Review,Rating,Product,District_id
13,01/01/2015,Complicated Online Banking additional charges complicated online banking WHY!?.,1,Online Services,74
14,01/01/2015,"Frustrating lost my details, staff were so unhelpful rude customer service the worst long wait times.",1,Online Services,22
15,01/01/2015,Poor Interest Rates limited services soo frustrating!strange rude customer service poor interest rates limited services rude customer service.,1,Online Services,29
16,01/01/2015,"Lost My Details, Staff Were So Unhelpful poor interest rates error error.",1,Online Services,11
17,01/01/2015,To Frustrate Me error error poor interest rates rude customer service.,1,Online Services,4
18,01/01/2015,"Error what happened to this bank?? slow transactions rude customer service lost my details, staff were so unhelpful soo frustrating!strange.",1,Online Services,45
19,01/01/2015,To Frustrate Me complicated online banking not great not great.,1,Online Services,52
20,01/01/2015,"Error what happened to this bank?? lost my details, staff were so unhelpful lost my details, staff were so unhelpful error kept cropping up error complicated online banking what happened to this bank??.",1,Online Services,6
21,01/01/2015,"Additional Charges complicated online banking lost my details, staff were so unhelpful bad advice limited services limited services.",1,Online Services,20
22,01/01/2015,Not Great fees unhelpful staff slow transactions my mum.,1,Mortgage,8
23,01/01/2015,High Fees unhelpful staff distressed by this unhelpful staff not great slow transactions.,1,Mortgage,23
24,01/01/2015,Terrible Manager not great my mum long wait times bad financial advice high fees.,1,Mortgage,39
25,01/01/2015,Rising bad financial advice rude customer service unhelpful staff limited services long wait times.,1,Mortgage,39
32,01/01/2015,Bad Advice soo frustrating!strange WHY!? what happened to this bank?? additional charges soo frustrating!strange.,1,Online Services,4
33,01/01/2015,Frustrating long wait times bad advice complicated to figure out rude customer service error kept cropping up limited services.,1,Online Services,52
34,01/01/2015,To Frustrate Me rude customer service the worst what happened to this bank?? not great error the worst long wait times.,1,Online Services,46
35,01/01/2015,Error Kept Cropping Up WHY!? error kept cropping up long wait times what happened to this bank??.,1,Online Services,53
36,01/01/2015,Slow Transactions not great to frustrate me complicated to figure out error error to frustrate me.,1,Online Services,62
37,01/01/2015,Frustrating complicated online banking rude customer service error additional charges error kept cropping up frustrating slow transactions.,1,Online Services,15
38,01/01/2015,Why!? long wait times additional charges error poor interest rates additional charges.,1,Online Services,48
39,01/01/2015,Long Wait Times long wait times limited services the worst not great the worst.,1,Online Services,29
40,02/01/2015,"Slow Transactions limited services complicated online banking not great lost my details, staff were so unhelpful complicated to figure out.",1,Online Services,17
41,02/01/2015,Terrible Manager i hope youre proud of yourselves!! limited services distressed by this poor interest rates insecure distressed by this.,1,Mortgage,12
58,02/01/2015,"Lost My Details, Staff Were So Unhelpful frustrating complicated to figure out error WHY!?.",1,Online Services,40
59,02/01/2015,Slow Transactions what happened to this bank?? bad advice not great what happened to this bank??.,1,Online Services,72
60,02/01/2015,Long Wait Times long wait times bad advice bad advice complicated to figure out.,1,Online Services,65
61,02/01/2015,Error complicated online banking bad advice bad advice.,1,Online Services,26
62,02/01/2015,Complicated To Figure Out poor interest rates frustrating error.,1,Online Services,2
63,02/01/2015,To Frustrate Me complicated online banking additional charges to frustrate me frustrating poor interest rates limited services.,1,Online Services,45
64,02/01/2015,"Error additional charges long wait times lost my details, staff were so unhelpful to frustrate me soo frustrating!strange.",1,Online Services,76
65,02/01/2015,"Lost My Details, Staff Were So Unhelpful error to frustrate me soo frustrating!strange to frustrate me.",1,Online Services,35
66,02/01/2015,Additional Charges long wait times complicated to figure out the worst not great error.,1,Online Services,42
68,02/01/2015,Slow Transactions what happened slow transactions fees additional charges limited services distressed by this limited services.,1,Mortgage,66
